height,width,timesteps,years,wind_prob,wind_directions,wind_directions.1,wind_directions.2,wind_directions.3,buffer,numbspecies,initial01,initial02,initial03,initial04,agedead01,agedead02,agedead03,agedead04,maxrgr01,maxrgr02,maxrgr03,maxrgr04,overwinter01,overwinter02,overwinter03,overwinter04
200,50,75,10,0.25,U,L,,,3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0
200,50,75,10,0.25,U,L,,,3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0
300,75,75,10,0.25,U,L,,,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
300,75,75,10,0.25,U,L,,,3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0
300,75,75,10,0.25,U,L,,,3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0
400,100,75,10,0.25,U,L,,,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
400,100,75,10,0.25,U,L,,,3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0
400,100,75,10,0.25,U,L,,,3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0
500,125,75,10,0.25,U,L,,,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
500,125,75,10,0.25,U,L,,,3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0
500,125,75,10,0.25,U,L,,,3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0
600,150,75,10,0.25,U,L,,,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
600,150,75,10,0.25,U,L,,,3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0
600,150,75,10,0.25,U,L,,,3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0
40,10,75,10,0.25,U,L,,,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
40,10,75,10,0.25,U,L,,,3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0
40,10,75,10,0.25,U,L,,,3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0
100,25,75,10,0.25,U,L,,,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
100,25,75,10,0.25,U,L,,,3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0
100,25,75,10,0.25,U,L,,,3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0
200,50,75,10,0.25,U,L,,,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
200,50,75,10,0.25,U,L,,,3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0
200,50,75,10,0.25,U,L,,,3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0
300,75,75,10,0.25,U,L,,,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
300,75,75,10,0.25,U,L,,,3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0
300,75,75,10,0.25,U,L,,,3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0
400,100,75,10,0.25,U,L,,,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
400,100,75,10,0.25,U,L,,,3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0
400,100,75,10,0.25,U,L,,,3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0
500,125,75,10,0.25,U,L,,,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
500,125,75,10,0.25,U,L,,,3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0
500,125,75,10,0.25,U,L,,,3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0
600,150,75,10,0.25,U,L,,,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
600,150,75,10,0.25,U,L,,,3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0
600,150,75,10,0.25,U,L,,,3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0
